"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01007","5","445","75","0","2022","1","","Bibb County, Alabama","Private","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,97,98,99,589857,342947,3689,463,"",0.56,0.97,0.95,0.97,1.19,0.81,1.13,1.23,"",0,0.0,13,15.5,15,18.1,17,20.7,221345,60.1,51820,17.8,-309,-7.7,121,35.4
"01009","2","445","75","0","2022","1","N","Blount County, Alabama","State Government","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",30.66,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","445","75","0","2022","1","","Blount County, Alabama","Private","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",7,96,103,106,630653,546389,4821,477,"",0.58,0.53,0.56,0.58,0.81,0.78,0.94,1.45,"",0,0.0,-14,-12.7,-9,-8.0,-7,-6.2,-85195,-11.9,-56159,-9.3,-2250,-31.8,-16,-3.2
"01011","2","445","75","0","2022","1","N","Bullock County, Alabama","State Government","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",131.61,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01011","5","445","75","0","2022","1","N","Bullock County, Alabama","Private","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.71,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","2","445","75","0","2022","1","N","Butler County, Alabama","State Government","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",51.93,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","445","75","0","2022","1","","Butler County, Alabama","Private","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,98,104,106,607521,488643,3878,455,"",0.70,0.72,0.75,0.78,1.04,0.82,0.69,1.39,"N",1,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","2","445","75","0","2022","1","","Calhoun County, Alabama","State Government","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,16,17,17,104742,0,0,483,"",40.25,6.71,7.54,7.62,9.55,0.00,0.00,1.31,"",0,0.0,1,6.7,1,6.2,1,6.2,-8788,-7.7,0,0.0,0,0.0,-74,-13.3
"01015","5","445","75","0","2022","1","","Calhoun County, Alabama","Private","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",29,843,861,870,4563825,3621498,29016,409,"",0.79,0.92,0.93,0.94,1.06,1.04,1.09,1.14,"",2,7.4,57,7.3,60,7.5,103,13.4,450705,11.0,620535,20.7,-9926,-25.5,6,1.5
"01017","2","445","75","0","2022","1","N","Chambers County, Alabama","State Government","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",38.53,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","445","75","0","2022","1","","Chambers County, Alabama","Private","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",9,247,243,243,1356129,1040713,8884,427,"",0.94,1.36,1.32,1.34,1.65,1.38,1.40,1.23,"",0,0.0,-5,-2.0,-9,-3.6,-6,-2.4,228350,20.2,87331,9.2,-3021,-25.4,81,23.4
"01019","2","445","75","0","2022","1","N","Cherokee County, Alabama","State Government","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",60.29,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01019","5","445","75","0","2022","1","","Cherokee County, Alabama","Private","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,114,120,122,660342,545449,4894,428,"",0.82,1.04,1.08,1.11,1.42,1.20,1.25,1.32,"",0,0.0,3,2.7,6,5.3,10,8.9,144609,28.0,84484,18.3,-964,-16.5,75,21.2
"01021","2","445","75","0","2022","1","N","Chilton County, Alabama","State Government","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",31.95,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","445","75","0","2022","1","","Chilton County, Alabama","Private","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",13,242,245,243,1254030,939063,10514,396,"",1.13,1.30,1.30,1.31,1.52,1.23,1.69,1.17,"",0,0.0,32,15.2,10,4.3,-4,-1.6,96339,8.3,50256,5.7,-5579,-34.7,10,2.6
"01023","2","445","75","0","2022","1","N","Choctaw County, Alabama","State Government","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",75.31,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01023","5","445","75","0","2022","1","","Choctaw County, Alabama","Private","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,135,141,134,581798,509062,4151,327,"",1.63,1.87,1.94,1.83,1.45,1.45,1.01,0.77,"",1,14.3,3,2.3,8,6.0,8,6.3,60984,11.7,47300,10.2,-1025,-19.8,20,6.5
"01025","2","445","75","0","2022","1","N","Clarke County, Alabama","State Government","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",37.24,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","445","75","0","2022","1","","Clarke County, Alabama","Private","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",6,116,118,118,676627,554501,3882,444,"",0.61,0.67,0.68,0.68,0.78,0.73,0.69,1.15,"",-2,-25.0,-20,-14.7,-11,-8.5,-12,-9.2,39413,6.2,17516,3.3,-2256,-36.8,72,19.4
"01027","2","445","75","0","2022","1","N","Clay County, Alabama","State Government","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",116.61,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","5","445","75","0","2022","1","","Clay County, Alabama","Private","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,91,108,106,302614,289449,2026,229,"",0.95,1.00,1.17,1.14,0.75,0.69,0.69,0.68,"",0,0.0,-13,-12.5,-2,-1.8,4,3.9,-68833,-18.5,-22364,-7.2,-1560,-43.5,-42,-15.5
"01029","2","445","75","0","2022","1","N","Cleburne County, Alabama","State Government","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",102.25,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01029","5","445","75","0","2022","1","N","Cleburne County, Alabama","Private","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,0,0,0,0,0,0,0,"N",1.11,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","2","445","75","0","2022","1","N","Coffee County, Alabama","State Government","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",22.66,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","445","75","0","2022","1","","Coffee County, Alabama","Private","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,355,372,373,2069485,1676924,13565,434,"",0.74,1.03,1.07,1.07,1.40,1.07,1.11,1.33,"",1,9.1,3,0.9,9,2.5,26,7.5,219518,11.9,138537,9.0,-4855,-26.4,32,8.0
"01033","2","445","75","0","2022","1","N","Colbert County, Alabama","State Government","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",37.29,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","445","75","0","2022","1","","Colbert County, Alabama","Private","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",21,448,458,465,3021358,2467506,18510,509,"",1.06,0.90,0.90,0.92,1.08,1.07,0.94,1.19,"",1,5.0,36,8.7,39,9.3,37,8.6,922645,44.0,664304,36.8,-2255,-10.9,124,32.2
"01035","2","445","75","0","2022","1","N","Conecuh County, Alabama","State Government","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",98.10,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01035","5","445","75","0","2022","1","","Conecuh County, Alabama","Private","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",5,73,77,67,312132,273826,1917,332,"",1.33,1.14,1.18,1.05,1.12,0.99,0.90,1.00,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01037","5","445","75","0","2022","1","N","Coosa County, Alabama","Private","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.96,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01039","2","445","75","0","2022","1","N","Covington County, Alabama","State Government","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",27.10,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01039","5","445","75","0","2022","1","","Covington County, Alabama","Private","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,283,287,291,1410135,1209231,10705,378,"",0.88,1.12,1.13,1.15,1.27,1.11,1.03,1.12,"",4,50.0,35,14.1,32,12.5,32,12.4,323375,29.8,259893,27.4,-1925,-15.2,49,14.9
"01041","5","445","75","0","2022","1","","Crenshaw County, Alabama","Private","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,67,71,71,339877,283769,2383,375,"",0.75,0.98,1.03,1.02,1.12,0.95,0.73,1.11,"",-1,-25.0,-7,-9.5,-9,-11.2,-6,-7.8,24230,7.7,10175,3.7,-975,-29.0,60,19.0
"01043","2","445","75","0","2022","1","N","Cullman County, Alabama","State Government","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",13.19,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","445","75","0","2022","1","","Cullman County, Alabama","Private","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",17,318,324,330,1572511,1351227,10031,373,"",0.61,0.51,0.51,0.52,0.50,0.45,0.42,0.98,"",1,6.2,23,7.8,37,12.9,39,13.4,185783,13.4,116895,9.5,-4283,-29.9,6,1.6
"01045","1","445","75","0","2022","1","","Dale County, Alabama","Federal Government","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,47,47,49,419436,0,0,677,"",56.49,39.69,39.74,41.95,42.40,0.00,0.00,1.05,"",0,0.0,-10,-17.5,-10,-17.5,-6,-10.9,-44757,-9.6,0,0.0,0,0.0,43,6.8
"01045","2","445","75","0","2022","1","N","Dale County, Alabama","State Government","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",54.76,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01045","5","445","75","0","2022","1","","Dale County, Alabama","Private","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,114,116,118,612631,493024,5154,406,"",0.59,0.31,0.31,0.32,0.28,0.32,0.51,0.88,"",0,0.0,2,1.8,3,2.7,3,2.6,82525,15.6,84517,20.7,-148,-2.8,46,12.8
"01047","2","445","75","0","2022","1","N","Dallas County, Alabama","State Government","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",30.01,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01047","5","445","75","0","2022","1","","Dallas County, Alabama","Private","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,267,263,256,1574736,1203541,15938,462,"",0.98,1.10,1.07,1.05,1.40,1.17,1.46,1.31,"",2,20.0,19,7.7,12,4.8,11,4.5,139135,9.7,84740,7.6,-5530,-25.8,17,3.8
"01049","2","445","75","0","2022","1","N","DeKalb County, Alabama","State Government","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",20.00,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01049","5","445","75","0","2022","1","","DeKalb County, Alabama","Private","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",25,466,469,467,1955013,1739849,16663,322,"",1.36,1.01,1.00,1.01,0.91,0.80,1.06,0.91,"",3,13.6,78,20.1,72,18.1,74,18.8,409195,26.5,312177,21.9,-5113,-23.5,19,6.3
"01051","2","445","75","0","2022","1","","Elmore County, Alabama","State Government","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,8,8,7,51469,0,0,516,"",51.00,7.39,7.81,6.93,11.18,0.00,0.00,1.51,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01051","5","445","75","0","2022","1","","Elmore County, Alabama","Private","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,479,501,486,3023907,2267300,19409,476,"",0.55,1.15,1.19,1.16,1.67,1.34,1.59,1.44,"",1,9.1,-9,-1.8,-7,-1.4,-11,-2.2,415585,15.9,254330,12.6,-10656,-35.4,73,18.1
"01053","2","445","75","0","2022","1","N","Escambia County, Alabama","State Government","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",59.48,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01053","5","445","75","0","2022","1","","Escambia County, Alabama","Private","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",8,176,186,182,859466,739596,6566,365,"",0.65,0.68,0.70,0.69,0.66,0.64,0.78,0.96,"",0,0.0,3,1.7,16,9.4,12,7.1,176945,25.9,129885,21.3,-2119,-24.4,58,18.9
"01055","2","445","75","0","2022","1","","Etowah County, Alabama","State Government","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,14,14,13,84390,0,0,475,"",35.99,8.13,8.56,8.07,11.34,0.00,0.00,1.37,"",0,0.0,0,0.0,0,0.0,-1,-7.1,-20902,-19.9,0,0.0,0,0.0,-104,-18.0
"01055","5","445","75","0","2022","1","","Etowah County, Alabama","Private","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",22,667,675,690,4100081,3276771,29941,466,"",0.72,1.00,1.00,1.04,1.40,1.12,1.31,1.38,"",1,4.8,51,8.3,-1,-0.1,34,5.2,-821503,-16.7,285436,9.5,-10470,-25.9,-117,-20.1
"01057","5","445","75","0","2022","1","N","Fayette County, Alabama","Private","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,0,0,0,0,0,0,0,"N",0.61,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01059","2","445","75","0","2022","1","N","Franklin County, Alabama","State Government","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",43.02,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01059","5","445","75","0","2022","1","","Franklin County, Alabama","Private","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,220,227,225,940707,874121,7324,323,"",1.40,0.96,0.98,0.98,0.90,0.80,0.72,0.92,"",-1,-7.7,-6,-2.7,-4,-1.7,-6,-2.6,98959,11.8,77606,9.7,-2611,-26.3,41,14.5
"01061","2","445","75","0","2022","1","N","Geneva County, Alabama","State Government","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",46.97,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01061","5","445","75","0","2022","1","","Geneva County, Alabama","Private","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",12,243,238,238,1400424,1212403,9324,449,"",1.53,2.16,2.09,2.10,3.13,2.52,2.77,1.48,"",1,9.1,25,11.5,22,10.2,29,13.9,145909,11.6,122709,11.3,-3140,-25.2,-1,-0.2
"01063","2","445","75","0","2022","1","N","Greene County, Alabama","State Government","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",160.16,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01063","5","445","75","0","2022","1","N","Greene County, Alabama","Private","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",0.43,0,0,0,0,0,0,0,"N",-2,-66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01065","2","445","75","0","2022","1","N","Hale County, Alabama","State Government","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",87.74,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01065","5","445","75","0","2022","1","N","Hale County, Alabama","Private","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,0,0,0,0,0,0,0,"N",0.48,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01067","2","445","75","0","2022","1","N","Henry County, Alabama","State Government","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",70.90,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01067","5","445","75","0","2022","1","","Henry County, Alabama","Private","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",3,56,58,56,313025,260960,2545,425,"",0.58,0.69,0.71,0.69,0.81,0.70,1.18,1.16,"",-1,-25.0,-20,-26.3,-17,-22.7,-21,-27.3,-15135,-4.6,-16527,-6.0,-907,-26.3,93,28.0
"01069","2","445","75","0","2022","1","","Houston County, Alabama","State Government","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",4,18,18,18,128181,0,0,548,"",32.29,6.78,7.15,7.16,9.55,0.00,0.00,1.36,"",0,0.0,1,5.9,1,5.9,1,5.9,-7712,-5.7,0,0.0,0,0.0,-67,-10.9
"01069","5","445","75","0","2022","1","","Houston County, Alabama","Private","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",40,1176,1214,1251,8430729,6382730,59614,534,"",0.88,1.15,1.17,1.20,1.60,1.43,1.83,1.36,"",6,17.6,103,9.6,105,9.5,178,16.6,2033347,31.8,1351397,26.9,-6060,-9.2,80,17.6
"01071","2","445","75","0","2022","1","N","Jackson County, Alabama","State Government","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0,0,"N",24.89,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01071","5","445","75","0","2022","1","","Jackson County, Alabama","Private","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",14,203,214,222,898024,825248,8084,324,"",0.95,0.63,0.67,0.69,0.62,0.55,0.57,0.93,"",0,0.0,-22,-9.8,-10,-4.5,4,1.8,7743,0.9,14683,1.8,-2761,-25.5,16,5.2
"01073","2","445","75","0","2022","1","","Jefferson County, Alabama","State Government","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",22,112,110,106,725531,0,0,510,"",28.07,5.83,6.03,5.89,5.35,0.00,0.00,0.90,"",-2,-8.3,-8,-6.7,-8,-6.8,-6,-5.4,-134478,-15.6,0,0.0,0,0.0,-57,-10.1
"01073","5","445","75","0","2022","1","","Jefferson County, Alabama","Private","NAICS 445 Food and beverage retailers","County, NAICS 3-digit -- by ownership sector","All establishment sizes",221,5673,5828,5708,39270190,29727329,239435,527,"",0.76,0.76,0.78,0.77,0.74,0.85,0.90,0.96,"",-1,-0.5,218,4.0,213,3.8,229,4.2,6042555,18.2,3462590,13.2,-88281,-26.9,64,13.8
